project_key,project_id,project_start_date,project_end_date,type_of_project,project_status,reporter_id,approver_id,CLIENT_ID,tech_coe,proposition_coe,is_active_version
6f154c9c80a54605112cf603bd6c490a1aedca44ef6d71d3c51b38ec451374a4,CLIENT_1_005,08-03-2024,29-03-2024,Client Project,COMPLETE,EMP333,EMP479,CLIENT_1,NULL,Due Diligence,1
9b0721b2e3ced38df4652a9073bf7be4714c664d065f31c657977402f98ad83e,CLIENT_2_004,05-01-2026,30-03-2026,Client Project,COMPLETE,EMP791,EMP904,CLIENT_2,Data Engineering,Managed Service,1
1096960460c54da6b67e82fb669b756c19462947031412adc14f9690d44113ff,CLIENT_3_003,08-01-2024,27-02-2024,Client Project,COMPLETE,EMP306,EMP426,CLIENT_3,NULL,Core Reporting,1
453be4eac085d9044b3aa91841423b61647e70750f8b2124d382f8861a7ef81d,CLIENT_4_001,26-09-2022,23-12-2022,Client Project,COMPLETE,EMP696,EMP244,CLIENT_4,NULL,NULL,1
2b66813264efbc2882d6172f9d87b64c5c95f06e9e51c61f5f7de4946183439a,CLIENT_5_006,23-11-2020,30-04-2021,Client Project,COMPLETE,EMP263,,CLIENT_5,NULL,NULL,1
b0c08757fb57205ccbcfb8ab674b0e0f9aa034a9d22832d36014d1b89b634a27,CLIENT_6_002,06-10-2025,17-11-2025,Client Project,PROPOSE,EMP346,EMP346,CLIENT_6,Data Science & ML,Value Creation,1
0c4227d6e2c50be66fc70c49ab8520a02669d0f1b2f5a20d65c97dc17c57047c,CLIENT_7_001,08-06-2026,13-07-2026,Client Project,DEAL WON,EMP842,EMP529,CLIENT_7,Consulting,Data Advisory,1
5d0b5f75a174d019ad6c318487beaa0cdc05dbbb8202506860659aea3dfcda43,CLIENT_8_003,05-09-2022,31-01-2023,Client Project,COMPLETE,EMP696,EMP696,CLIENT_8,NULL,NULL,1
9c9b8174b2494bb5120119f59dc3828534149e8f75d4a7551adf856ce20b4dbc,CLIENT_9_243,28-01-2025,31-12-2026,Internal Project,COMPLETE,EMP252,EMP68,CLIENT_9,Data Science & ML,Value Creation,1
50e91478eb2fba5d32fdd2590bd1067bf469a9a260f9391964a48699ccc29f24,CLIENT_9_231,28-10-2024,31-01-2025,Internal Project,COMPLETE,EMP346,EMP535,CLIENT_9,NULL,NULL,1
